id,name,provinceId,number,provinceName,referendums,provinceId_key
904b0c8e-25fd-4159-9974-6151baec59ce,อุดรธานี เขต 6,41,6,อุดรธานี,"[{'title': 'เห็นชอบ', 'totalVote': 45463, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 19747, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5650, 'color': '#94a3b8'}]",41
e230711a-bf99-4230-a4c4-dfd7f139530b,อุดรธานี เขต 7,41,7,อุดรธานี,"[{'title': 'เห็นชอบ', 'totalVote': 43520, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 15943, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5048, 'color': '#94a3b8'}]",41
7729d2f5-64ad-4a7e-8284-c40707cf3a25,อุดรธานี เขต 8,41,8,อุดรธานี,"[{'title': 'เห็นชอบ', 'totalVote': 44202, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 17088, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 5549, 'color': '#94a3b8'}]",41
abdb7d59-737e-4a7a-9abe-3e3b94e63c8a,อุดรธานี เขต 9,41,9,อุดรธานี,"[{'title': 'เห็นชอบ', 'totalVote': 47666, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 16910, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6339, 'color': '#94a3b8'}]",41
317701d1-e609-49f5-a2cf-181a7a58415c,อุดรธานี เขต 10,41,10,อุดรธานี,"[{'title': 'เห็นชอบ', 'totalVote': 45491, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 17527, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6527, 'color': '#94a3b8'}]",41
2fbc151e-e989-4410-af15-e460fb976c55,เลย เขต 1,42,1,เลย,"[{'title': 'เห็นชอบ', 'totalVote': 51482, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 24224, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 7370, 'color': '#94a3b8'}]",42
95fcd823-ef4f-44a3-9b93-668ba49498af,เลย เขต 2,42,2,เลย,"[{'title': 'เห็นชอบ', 'totalVote': 43513, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 21798, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 7247, 'color': '#94a3b8'}]",42
82ad857c-3e28-4b26-bc5e-a2969ec000c6,เลย เขต 3,42,3,เลย,"[{'title': 'เห็นชอบ', 'totalVote': 46503, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 24734, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 8228, 'color': '#94a3b8'}]",42
cc41b195-cf11-4682-a6c7-bc38feb2ae67,เลย เขต 4,42,4,เลย,"[{'title': 'เห็นชอบ', 'totalVote': 47256, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 21201, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6796, 'color': '#94a3b8'}]",42
a9ecc1e2-a544-4266-bcfa-107f5816a317,หนองคาย เขต 1,43,1,หนองคาย,"[{'title': 'เห็นชอบ', 'totalVote': 54909, 'color': '#22c55e'}, {'title': 'ไม่เห็นชอบ', 'totalVote': 21588, 'color': '#ef4444'}, {'title': 'ไม่แสดงความคิดเห็น', 'totalVote': 6532, 'color': '#94a3b8'}]",43
